source,category,gender,age_unit,age,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,0,1,33.878700000000002,0.034959999999999998,30.3,31.5,32.700000000000003,33.9,35.1,36.200000000000003,37.4
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,1,1,34.552900000000001,0.033739999999999999,31.1,32.200000000000003,33.4,34.6,35.700000000000003,36.9,38.1
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,2,1,35.227200000000003,0.032509999999999997,31.8,32.9,34.1,35.200000000000003,36.4,37.5,38.700000000000003
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,3,1,35.843000000000004,0.032309999999999998,32.4,33.5,34.700000000000003,35.799999999999997,37,38.200000000000003,39.299999999999997
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,4,1,36.376100000000001,0.032149999999999998,32.9,34,35.200000000000003,36.4,37.5,38.700000000000003,39.9
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,5,1,36.847200000000001,0.03202,33.299999999999997,34.5,35.700000000000003,36.799999999999997,38,39.200000000000003,40.4
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,6,1,37.271099999999997,0.031910000000000001,33.700000000000003,34.9,36.1,37.299999999999997,38.5,39.6,40.799999999999997
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,7,1,37.6584,0.031820000000000001,34.1,35.299999999999997,36.5,37.700000000000003,38.9,40.1,41.3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,8,1,38.0167,0.031730000000000001,34.4,35.6,36.799999999999997,38,39.200000000000003,40.4,41.6
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,9,1,38.351599999999998,0.031660000000000001,34.700000000000003,35.9,37.1,38.4,39.6,40.799999999999997,42
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,10,1,38.667299999999997,0.031579999999999997,35,36.200000000000003,37.4,38.700000000000003,39.9,41.1,42.3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,11,1,38.966099999999997,0.031519999999999999,35.299999999999997,36.5,37.700000000000003,39,40.200000000000003,41.4,42.7
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,12,1,39.250100000000003,0.031460000000000002,35.5,36.799999999999997,38,39.299999999999997,40.5,41.7,43
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-13-zscores.xlsx,age,female,week,13,1,39.521000000000001,0.031399999999999997,35.799999999999997,37,38.299999999999997,39.5,40.799999999999997,42,43.2
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,0,1,33.878700000000002,0.034959999999999998,30.3,31.5,32.700000000000003,33.9,35.1,36.200000000000003,37.4
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,1,1,36.546300000000002,0.032099999999999997,33,34.200000000000003,35.4,36.5,37.700000000000003,38.9,40.1
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,2,1,38.252099999999999,0.03168,34.6,35.799999999999997,37,38.299999999999997,39.5,40.700000000000003,41.9
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,3,1,39.532800000000002,0.031399999999999997,35.799999999999997,37.1,38.299999999999997,39.5,40.799999999999997,42,43.3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,4,1,40.581699999999998,0.031189999999999999,36.799999999999997,38.1,39.299999999999997,40.6,41.8,43.1,44.4
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,5,1,41.459000000000003,0.031019999999999999,37.6,38.9,40.200000000000003,41.5,42.7,44,45.3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,6,1,42.1995,0.030870000000000002,38.299999999999997,39.6,40.9,42.2,43.5,44.8,46.1
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,7,1,42.829000000000001,0.03075,38.9,40.200000000000003,41.5,42.8,44.1,45.5,46.8
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,8,1,43.367100000000001,0.030630000000000001,39.4,40.700000000000003,42,43.4,44.7,46,47.4
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/head-circumference-for-age/hcfa-girls-0-5-zscores.xlsx,age,female,month,9,1,43.83,0.030530000000000002,39.799999999999997,41.2,42.5,43.8,45.2,46.5,47.8
