source,category,gender,age_unit,age,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,0,1,49.1477,0.037900000000000003,43.6,45.4,47.3,49.1,51,52.9,54.7
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,1,1,50.329799999999999,0.037420000000000002,44.7,46.6,48.4,50.3,52.2,54.1,56
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,2,1,51.512,0.036940000000000001,45.8,47.7,49.6,51.5,53.4,55.3,57.2
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,3,1,52.469499999999996,0.03669,46.7,48.6,50.5,52.5,54.4,56.3,58.2
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,4,1,53.380899999999997,0.036470000000000002,47.5,49.5,51.4,53.4,55.3,57.3,59.2
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,5,1,54.245399999999997,0.036269999999999997,48.3,50.3,52.3,54.2,56.2,58.2,60.1
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,6,1,55.0642,0.036089999999999997,49.1,51.1,53.1,55.1,57.1,59,61
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,7,1,55.840600000000002,0.035929999999999997,49.8,51.8,53.8,55.8,57.8,59.9,61.9
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,8,1,56.576700000000002,0.035779999999999999,50.5,52.5,54.6,56.6,58.6,60.6,62.6
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,9,1,57.2761,0.035639999999999998,51.2,53.2,55.2,57.3,59.3,61.4,63.4
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,10,1,57.943600000000004,0.035520000000000003,51.8,53.8,55.9,57.9,60,62.1,64.099999999999994
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,11,1,58.581600000000002,0.035400000000000001,52.4,54.4,56.5,58.6,60.7,62.7,64.8
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,12,1,59.1922,0.035299999999999998,52.9,55,57.1,59.2,61.3,63.4,65.5
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-13-weeks_zscores.xlsx,age,female,week,13,1,59.777299999999997,0.035200000000000002,53.5,55.6,57.7,59.8,61.9,64,66.099999999999994
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/lhfa_girls_0-to-2-years_zscores.xlsx,age,female,month,0,1,49.1477,0.037900000000000003,43.6,45.4,47.3,49.1,51,52.9,54.7
